dataset,target,model,selector,n_seeds,apparent_mean,apparent_std,nested_mean,nested_std,bias_mean,bias_std,apparent_pooled_mean,bias_pooled_mean,apparent_rmse_mean,nested_rmse_mean
deep_patato,chlorophyll,pls,ga,12,0.7767304479945162,0.008713274278030498,0.44181899248904877,0.03729635231027233,0.33491145550546736,0.036211368223501426,0.8074953619485816,0.3656763694595329,3.041987249659011,4.9630124582963004
deep_patato,chlorophyll,pls,lasso,12,0.7049556090226435,0.0,0.4767133775407479,0.0,0.22824223148189582,0.0,0.737001098104118,0.26028772056337013,3.6029994559045235,4.830139128549679
deep_patato,chlorophyll,pls,mutual_info,12,0.6370409773297654,0.0,0.6421851372180144,0.00567320333269857,-0.005144159888249021,0.005673203332698565,0.6892434936978041,0.047058356479789724,3.8524456501216933,3.9254367888833444
deep_patato,chlorophyll,pls,rfe,12,0.539683525067237,0.0,0.6020425649495799,0.0,-0.062359039882342815,0.0,0.5956536782133807,-0.006388886736199195,4.413800342176829,4.053719763371392
ryckewaert,chlorophyll,pls,ga,12,0.8834083658461834,0.001890562672666232,0.7801843227239394,0.015518016223089114,0.10322404312224402,0.015666084214754412,0.885085068662793,0.1049007459388535,3.1342438022817323,4.287482287430299
ryckewaert,chlorophyll,pls,lasso,12,0.8669085604030414,0.0,0.8531390173554021,0.0,0.013769543047639443,0.0,0.8694490788439729,0.016310061488570726,3.3478352108958602,3.509617039119133
ryckewaert,chlorophyll,pls,mutual_info,12,0.8546330695957943,0.0,0.844990147858558,0.00015531492427683615,0.009642921737236318,0.0001553149242768185,0.8567857313324931,0.01179558347393513,3.5086212496215587,3.61472064355956
ryckewaert,chlorophyll,pls,rfe,12,0.8511114479906334,0.0,0.8372044852813229,0.0,0.013906962709310688,0.0,0.8535537958694436,0.016349310588120947,3.551662204665174,3.715072726773903
ryckewaert,flavonol,lightgbm,ga,12,0.5598657596825728,0.0136562837597043,0.32233506270174167,0.01643244838431864,0.23753069698083115,0.012406093380253646,0.5683162530360765,0.24598119033433485,0.3761518237087213,0.46586196892372594
ryckewaert,flavonol,lightgbm,lasso,12,0.3969511194123864,0.0,0.3559283281215658,0.0,0.04102279129082065,0.0,0.4088048351208064,0.05287650699924057,0.43939437316091673,0.4542960416205147
ryckewaert,flavonol,lightgbm,mutual_info,12,0.2977933820664618,0.0,0.29087133565696793,0.004281828561175738,0.006922046409493819,0.004281828561175727,0.3150461773125658,0.024174841655597832,0.4737667845191648,0.4722190445338789
ryckewaert,flavonol,lightgbm,rfe,12,0.2726524381607883,0.0,0.20643745223969953,0.0,0.06621498592108882,0.0,0.2950459336604504,0.0886084814207509,0.4819840193577975,0.5003901788880482
ryckewaert,flavonol,pls,ga,12,0.6148783808431916,0.011405770375842747,0.2691855351581099,0.02567825693361003,0.3456928456850818,0.03137644750968729,0.6185618014050328,0.3493762662469229,0.3522102624587032,0.4806588600092537
ryckewaert,flavonol,pls,lasso,12,0.5952126589408168,0.0,0.4108911919316755,0.0,0.18432146700914132,0.0,0.5919872037883033,0.18109601185662783,0.36321372802590285,0.43168634521642274
ryckewaert,flavonol,pls,mutual_info,12,0.3024405507086665,0.0,0.280497479570689,0.00739568745950097,0.021943071137977468,0.00739568745950097,0.3193746569055994,0.03887717733491038,0.4732393989375893,0.4795839194248759
ryckewaert,flavonol,pls,rfe,12,0.24944049873632865,0.0,0.2388132037864726,0.0,0.010627294949856064,0.0,0.2595891110353745,0.020775907248901937,0.49228122918467526,0.49297326702829203
