seed,dataset,target,model,selector,apparent_r2_pooled,nested_r2_pooled,bias_pooled
0,deep_patato,chlorophyll,pls,ga,0.810021595253321,0.5127782440783466,0.29724335117497436
1,deep_patato,chlorophyll,pls,ga,0.8120534088099152,0.5234919069531616,0.28856150185675356
2,deep_patato,chlorophyll,pls,ga,0.8016137889007915,0.47252232183755627,0.3290914670632352
3,deep_patato,chlorophyll,pls,ga,0.812641693045612,0.47674319921355,0.33589849383206194
4,deep_patato,chlorophyll,pls,ga,0.8049748734072657,0.49640342340987287,0.30857144999739283
5,deep_patato,chlorophyll,pls,ga,0.815744696722793,0.5451364093573848,0.2706082873654082
6,deep_patato,chlorophyll,pls,ga,0.8096475912453233,0.5210532766020095,0.28859431464331375
7,deep_patato,chlorophyll,pls,ga,0.8026825414445578,0.49623783164216184,0.3064447098023959
8,deep_patato,chlorophyll,pls,ga,0.8161553904585508,0.5040175973162608,0.31213779314228995
9,deep_patato,chlorophyll,pls,ga,0.8124642687316117,0.4597148644863027,0.352749404245309
10,deep_patato,chlorophyll,pls,ga,0.7986933893670785,0.46395708340079145,0.334736305966287
11,deep_patato,chlorophyll,pls,ga,0.7932511059961597,0.5002337547191272,0.29301735127703243
0,deep_patato,chlorophyll,pls,lasso,0.737001098104118,0.5240397777415469,0.2129613203625711
1,deep_patato,chlorophyll,pls,lasso,0.737001098104118,0.5240397777415469,0.2129613203625711
2,deep_patato,chlorophyll,pls,lasso,0.737001098104118,0.5240397777415469,0.2129613203625711
3,deep_patato,chlorophyll,pls,lasso,0.737001098104118,0.5240397777415469,0.2129613203625711
4,deep_patato,chlorophyll,pls,lasso,0.737001098104118,0.5240397777415469,0.2129613203625711
5,deep_patato,chlorophyll,pls,lasso,0.737001098104118,0.5240397777415469,0.2129613203625711
6,deep_patato,chlorophyll,pls,lasso,0.737001098104118,0.5240397777415469,0.2129613203625711
7,deep_patato,chlorophyll,pls,lasso,0.737001098104118,0.5240397777415469,0.2129613203625711
8,deep_patato,chlorophyll,pls,lasso,0.737001098104118,0.5240397777415469,0.2129613203625711
9,deep_patato,chlorophyll,pls,lasso,0.737001098104118,0.5240397777415469,0.2129613203625711
10,deep_patato,chlorophyll,pls,lasso,0.737001098104118,0.5240397777415469,0.2129613203625711
11,deep_patato,chlorophyll,pls,lasso,0.737001098104118,0.5240397777415469,0.2129613203625711
0,deep_patato,chlorophyll,pls,mutual_info,0.6892434936978041,0.6893042788957096,-6.078519790542192e-05
1,deep_patato,chlorophyll,pls,mutual_info,0.6892434936978041,0.6893042788957096,-6.078519790542192e-05
2,deep_patato,chlorophyll,pls,mutual_info,0.6892434936978041,0.6920677513471881,-0.0028242576493839877
3,deep_patato,chlorophyll,pls,mutual_info,0.6892434936978041,0.6746705356818973,0.014572958015906856
4,deep_patato,chlorophyll,pls,mutual_info,0.6892434936978041,0.6734752798341932,0.015768213863610936
5,deep_patato,chlorophyll,pls,mutual_info,0.6892434936978041,0.6746705356818973,0.014572958015906856
6,deep_patato,chlorophyll,pls,mutual_info,0.6892434936978041,0.6746705356818973,0.014572958015906856
7,deep_patato,chlorophyll,pls,mutual_info,0.6892434936978041,0.687971875118372,0.0012716185794321433
8,deep_patato,chlorophyll,pls,mutual_info,0.6892434936978041,0.6746705356818973,0.014572958015906856
9,deep_patato,chlorophyll,pls,mutual_info,0.6892434936978041,0.688157591720833,0.0010859019769711153
10,deep_patato,chlorophyll,pls,mutual_info,0.6892434936978041,0.6758172228567738,0.013426270841030319
11,deep_patato,chlorophyll,pls,mutual_info,0.6892434936978041,0.6746219670090698,0.014621526688734288
0,deep_patato,chlorophyll,pls,rfe,0.5956536782133807,0.6555269127940447,-0.05987323458066407
1,deep_patato,chlorophyll,pls,rfe,0.5956536782133807,0.6555269127940447,-0.05987323458066407
2,deep_patato,chlorophyll,pls,rfe,0.5956536782133807,0.6555269127940447,-0.05987323458066407
3,deep_patato,chlorophyll,pls,rfe,0.5956536782133807,0.6555269127940447,-0.05987323458066407
4,deep_patato,chlorophyll,pls,rfe,0.5956536782133807,0.6555269127940447,-0.05987323458066407
5,deep_patato,chlorophyll,pls,rfe,0.5956536782133807,0.6555269127940447,-0.05987323458066407
6,deep_patato,chlorophyll,pls,rfe,0.5956536782133807,0.6555269127940447,-0.05987323458066407
7,deep_patato,chlorophyll,pls,rfe,0.5956536782133807,0.6555269127940447,-0.05987323458066407
8,deep_patato,chlorophyll,pls,rfe,0.5956536782133807,0.6555269127940447,-0.05987323458066407
9,deep_patato,chlorophyll,pls,rfe,0.5956536782133807,0.6555269127940447,-0.05987323458066407
10,deep_patato,chlorophyll,pls,rfe,0.5956536782133807,0.6555269127940447,-0.05987323458066407
11,deep_patato,chlorophyll,pls,rfe,0.5956536782133807,0.6555269127940447,-0.05987323458066407
0,ryckewaert,chlorophyll,pls,ga,0.8861541941376332,0.7875164414026692,0.098637752734964
1,ryckewaert,chlorophyll,pls,ga,0.8860651364972998,0.7697018551907242,0.11636328130657558
2,ryckewaert,chlorophyll,pls,ga,0.883756994853746,0.7811189292542214,0.1026380655995246
3,ryckewaert,chlorophyll,pls,ga,0.88629587153913,0.7833942561457047,0.10290161539342535
4,ryckewaert,chlorophyll,pls,ga,0.8816993220968121,0.773101390756402,0.10859793134041007
5,ryckewaert,chlorophyll,pls,ga,0.8860472225051097,0.8004444195074314,0.0856028029976783
6,ryckewaert,chlorophyll,pls,ga,0.8849621892710949,0.8036988527112165,0.08126333655987839
7,ryckewaert,chlorophyll,pls,ga,0.8857022928609538,0.8037617847456003,0.08194050811535347
8,ryckewaert,chlorophyll,pls,ga,0.8876680558114692,0.7881541977266403,0.09951385808482893
9,ryckewaert,chlorophyll,pls,ga,0.8814907963109877,0.7966046436058697,0.08488615270511801
10,ryckewaert,chlorophyll,pls,ga,0.8857826298948018,0.7514989986223728,0.13428363127242904
11,ryckewaert,chlorophyll,pls,ga,0.8853961181744776,0.7570123298442031,0.12838378833027453
0,ryckewaert,chlorophyll,pls,lasso,0.8694490788439728,0.8560998566180674,0.0133492222259054
